seta,tension,kva,ID_Bus,P.Activa,P.Reactiva
86,"13,2",160,39,122.099999999999994,59.100000000000001
87,"13,2",160,105,74.299999999999997,36.000000000000000
200,"13,2",200,42,46.899999999999999,22.699999999999999
17,"13,2",400,81,0.000000000000000,0.000000000000000
50,"13,2",400,57,161.199999999999989,78.099999999999994
51,"13,2",315,58,185.199999999999989,89.700000000000003
83,"13,2",315,13,141.900000000000006,68.700000000000003
378,"13,2",160,68,112.500000000000000,54.500000000000000
49,"13,2",315,62,161.300000000000011,78.099999999999994
52,"13,2",315,54,118.700000000000003,57.500000000000000
53,"13,2",200,71,123.700000000000003,59.899999999999999
54,"13,2",315,87,0.000000000000000,0.000000000000000
55,"13,2",315,65,45.399999999999999,22.000000000000000
56,"13,2",315,47,197.500000000000000,95.700000000000003
61,"13,2",250,25,201.199999999999989,97.500000000000000
77,"13,2",200,4,119.000000000000000,57.600000000000001
78,"13,2",200,75,190.500000000000000,92.299999999999997
58,"13,2",160,7,148.500000000000000,71.900000000000006
88,"13,2",75,93,22.000000000000000,10.699999999999999
97,"13,2",160,83,80.299999999999997,38.899999999999999
113,"13,2",315,99,22.899999999999999,11.100000000000000
6005,"13.2",400,44,89.799999999999997,43.500000000000000
18,"13,2",200,28,118.400000000000006,57.399999999999999
62,"13,2",315,38,116.599999999999994,56.500000000000000
63,"13,2",160,41,83.299999999999997,40.299999999999997
65,"13,2",200,10,91.000000000000000,44.100000000000001
68,"13,2",160,52,71.700000000000003,34.700000000000003
73,"13,2",100,2,119.400000000000006,57.799999999999997
114,"13,2",315,101,49.299999999999997,23.899999999999999
90,"13,2",160,76,0.000000000000000,0.000000000000000
